latitude,longitude,Slope_Angle,Rainfall_mm,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
23.76166666666667,86.41472222222224,2.2836,228.0,0.3362,0.5765,4.7,0.9897,1,0,0
23.76166666666667,86.415,2.0196,228.0,0.3588,0.5807,4.7,1.018,1,0,0
23.76166666666667,86.41527777777779,2.2836,228.0,0.3329,0.5765,4.7,1.0463,1,0,0
23.76166666666667,86.41555555555557,2.566,228.0,0.3097,0.5756,4.7,1.0746,1,0,0
23.76166666666667,86.41583333333334,1.515,228.0,0.417,0.5826,4.7,1.1028,1,0,0
23.76166666666667,86.41611111111112,1.2836,228.0,0.4533,0.5826,4.7,1.1311,1,0,0
23.76166666666667,86.4163888888889,2.3755,228.0,0.3335,0.5727,4.7,1.1594,1,0,0
23.76166666666667,86.41666666666667,1.7176,228.0,0.4007,0.5777,4.7,1.1877,1,0,0
23.76166666666667,86.41694444444445,1.0279,228.0,0.5044,0.5777,4.7,1.1889,1,0,0
23.76166666666667,86.41722222222224,1.1112,228.0,0.4899,0.5842,4.7,1.1866,1,0,0
23.76166666666667,86.4175,0.6853,228.0,0.5895,0.5883,4.7,1.1851,1,0,0
23.76166666666667,86.41777777777779,1.1851,228.0,0.4855,0.5751,4.7,1.1842,1,0,0
23.76138888888889,86.41250000000001,4.4882,228.0,0.2155,0.5554,4.7,0.7635,1,0,0
23.76138888888889,86.41277777777779,3.8149,228.0,0.2496,0.5612,4.7,0.7918,1,0,0
23.76138888888889,86.41305555555556,3.2391,228.0,0.2818,0.564,4.7,0.8201,1,0,0
23.76138888888889,86.41333333333334,3.4791,228.0,0.2658,0.564,4.7,0.8483,1,0,0
23.76138888888889,86.41361111111112,3.5513,228.0,0.2595,0.5634,4.7,0.8766,1,0,0
23.76138888888889,86.41388888888889,2.8412,228.0,0.3017,0.5685,4.7,0.9049,1,0,0
23.76138888888889,86.41416666666667,1.3894,228.0,0.4417,0.5793,4.7,0.9332,1,0,0
23.76138888888889,86.41444444444446,1.7756,228.0,0.3894,0.5803,4.7,0.9614,1,0,0
23.76138888888889,86.41472222222224,2.2216,228.0,0.3411,0.5777,4.7,0.9897,1,0,0
23.76138888888889,86.415,2.2216,228.0,0.3379,0.5777,4.7,1.018,1,0,0
23.76138888888889,86.41527777777779,2.3755,228.0,0.3221,0.5777,4.7,1.0463,1,0,0
23.76138888888889,86.41555555555557,1.7825,228.0,0.3791,0.5783,4.7,1.0746,1,0,0
23.76138888888889,86.41583333333334,1.4783,228.0,0.4185,0.5814,4.7,1.1028,1,0,0
23.76138888888889,86.41611111111112,2.3923,228.0,0.3265,0.5748,4.7,1.1311,1,0,0
23.76138888888889,86.4163888888889,3.469,228.0,0.2574,0.5648,4.7,1.1594,1,0,0
23.76138888888889,86.41666666666667,2.3923,228.0,0.3367,0.5727,4.7,1.1611,1,0,0
23.76138888888889,86.41694444444445,1.0279,228.0,0.5091,0.5793,4.7,1.1582,1,0,0
23.76138888888889,86.41722222222224,1.1112,228.0,0.4961,0.5777,4.7,1.1559,1,0,0
23.76138888888889,86.4175,2.1095,228.0,0.371,0.5689,4.7,1.1543,1,0,0
23.76138888888889,86.41777777777779,4.1445,228.0,0.2399,0.5548,4.7,1.1534,1,0,0
23.76138888888889,86.41805555555557,6.1415,228.0,0.1651,0.5359,4.7,1.1532,1,0,0
23.76138888888889,86.41833333333334,6.3956,228.0,0.1589,0.5356,4.7,1.1537,1,0,0
23.76138888888889,86.41861111111112,5.3009,228.0,0.1958,0.5443,4.7,1.1548,1,0,0
23.76111111111112,86.41250000000001,5.4663,228.0,0.1814,0.5454,4.7,0.7635,1,0,0
