date,precipitation,temperature_mean,relative_humidity,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,month_sin,month_cos,landslide_event
2023-07-23,2.23,23.37,88.08,2.23,36.71999999999993,47.33000000000003,282.14,808.38,-0.4999999999999997,-0.8660254037844388,0
2023-07-24,1.97,22.73,87.95,1.97,13.089999999999929,45.29000000000003,260.4,808.11,-0.4999999999999997,-0.8660254037844388,0
2023-07-25,5.97,23.44,84.76,5.97,10.169999999999929,49.72000000000003,209.79,811.3899999999999,-0.4999999999999997,-0.8660254037844388,0
2023-07-26,18.88,22.4,90.51,18.88,26.81999999999993,66.67000000000003,174.16999999999996,819.1199999999999,-0.4999999999999997,-0.8660254037844388,0
2023-07-27,36.17,22.66,91.86,36.17,61.01999999999993,99.71000000000004,139.57999999999998,824.88,-0.4999999999999997,-0.8660254037844388,0
2023-07-28,28.21,22.95,91.36,28.21,83.25999999999993,102.32000000000004,148.47999999999996,788.98,-0.4999999999999997,-0.8660254037844388,0
2023-07-29,9.1,23.18,88.68,9.1,73.47999999999993,102.53000000000004,151.70999999999995,747.75,-0.4999999999999997,-0.8660254037844388,0
2023-07-30,4.46,24.13,86.3,4.46,41.76999999999993,104.76000000000003,152.08999999999995,693.9499999999999,-0.4999999999999997,-0.8660254037844388,0
2023-07-31,7.07,23.78,89.32,7.07,20.629999999999928,109.86000000000004,155.14999999999995,620.11,-0.4999999999999997,-0.8660254037844388,0
2023-08-01,2.67,24.42,87.31,2.67,14.199999999999928,106.56000000000004,156.27999999999997,583.34,-0.8660254037844385,-0.5000000000000004,0
2023-08-02,9.73,23.46,91.0,9.73,19.469999999999928,97.41000000000004,164.07999999999996,538.71,-0.8660254037844385,-0.5000000000000004,0
2023-08-03,24.1,22.93,91.82,24.1,36.49999999999993,85.34000000000003,185.04999999999995,557.07,-0.8660254037844385,-0.5000000000000004,0
2023-08-04,24.26,22.99,92.42,24.26,58.08999999999993,81.39000000000003,183.71,554.99,-0.8660254037844385,-0.5000000000000004,0
2023-08-05,25.76,22.53,92.7,25.76,74.11999999999993,98.05000000000004,200.58,530.21,-0.8660254037844385,-0.5000000000000004,0
2023-08-06,72.1,22.23,95.72,72.1,122.11999999999992,165.69000000000003,270.44999999999993,568.8399999999999,-0.8660254037844385,-0.5000000000000004,0
2023-08-07,50.99,22.83,95.31,50.99,148.8499999999999,209.61000000000004,319.47,610.65,-0.8660254037844385,-0.5000000000000004,0
2023-08-08,26.82,22.6,95.34,26.82,149.9099999999999,233.76,340.31999999999994,630.4,-0.8660254037844385,-0.5000000000000004,0
2023-08-09,20.5,23.07,92.32,20.5,98.30999999999992,244.53000000000003,341.93999999999994,627.19,-0.8660254037844385,-0.5000000000000004,0
2023-08-10,10.44,23.12,92.13,10.44,57.75999999999993,230.87000000000003,316.21,581.0500000000001,-0.8660254037844385,-0.5000000000000004,0
2023-08-11,18.89,22.86,93.65,18.89,49.82999999999993,225.5,306.89,545.44,-0.8660254037844385,-0.5000000000000004,0
2023-08-12,44.63,22.05,95.95,44.63,73.95999999999992,244.37000000000003,342.42,519.3100000000001,-0.8660254037844385,-0.5000000000000004,0
2023-08-13,41.67,22.21,94.54,41.67,105.18999999999994,213.94000000000003,379.63,541.6700000000001,-0.8660254037844385,-0.5000000000000004,0
2023-08-14,14.41,22.93,87.42,14.41,100.70999999999994,177.36,386.97,550.21,-0.8660254037844385,-0.5000000000000004,0
2023-08-15,5.98,22.31,93.76,5.98,62.05999999999993,156.52000000000004,390.28,552.11,-0.8660254037844385,-0.5000000000000004,0
2023-08-16,15.0,23.2,91.34,15.0,35.38999999999993,151.02000000000004,395.55,563.1,-0.8660254037844385,-0.5000000000000004,0
2023-08-17,7.71,24.17,90.43,7.71,28.68999999999993,148.29000000000002,379.16,569.27,-0.8660254037844385,-0.5000000000000004,0
2023-08-18,6.56,23.76,89.89,6.56,29.26999999999993,135.96000000000004,361.46,573.9,-0.8660254037844385,-0.5000000000000004,0
2023-08-19,3.57,22.57,92.42,3.57,17.83999999999993,94.90000000000002,339.2699999999999,574.3399999999999,-0.8660254037844385,-0.5000000000000004,0
2023-08-20,1.73,22.19,91.06,1.73,11.859999999999928,54.96000000000003,268.9,550.47,-0.8660254037844385,-0.5000000000000004,0
2023-08-21,25.22,22.47,92.69,25.22,30.51999999999993,65.77000000000002,243.13,566.8,-0.8660254037844385,-0.5000000000000004,0
